LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-79.5442514,43.593789,22,Lloyd George Ave,,Etobicoke,,,,,4609176c08c67d96
-79.5434954,43.5934445,3,Lloyd George Ave,,Etobicoke,,,,,8acf99afdb870ad6
-79.5435775,43.5936221,7A,Lloyd George Ave,,Etobicoke,,,,,239c832319e298e7
-79.5465666,43.5962026,58,Foch Ave,,Etobicoke,,,,,2bb9aab1d601c207
-79.5464106,43.5959935,54,Foch Ave,,Etobicoke,,,,,c33e434ceba1c9fb
-79.5465831,43.5963137,60,Foch Ave,,Etobicoke,,,,,f037b9cfaead8162
-79.5466609,43.5964019,62,Foch Ave,,Etobicoke,,,,,ada4bddc7aa9ee3b
-79.546745,43.596511,64,Foch Ave,,Etobicoke,,,,,547bee46b84ee215
-79.5459748,43.596087,46,Jellicoe Ave,,Etobicoke,,,,,6af7604eb1db7548
-79.5458423,43.5961515,44,Jellicoe Ave,,Etobicoke,,,,,c51bb7a78d850f1d
-79.5438691,43.5960691,11,Jellicoe Ave,,Etobicoke,,,,,ca80375dce079fcc
-79.5437192,43.5961212,9,Jellicoe Ave,,Etobicoke,,,,,c63be8c67b3e70e6
-79.5435943,43.5961647,7,Jellicoe Ave,,Etobicoke,,,,,efeaa2d489290c8d
-79.5439076,43.5965289,12,Jellicoe Ave,,Etobicoke,,,,,19a8d784e4c8f371
-79.544469,43.5968782,17,Owen Dr,,Etobicoke,,,,,5b22be63512ff6ae
-79.5443476,43.596918,15B,Owen Dr,,Etobicoke,,,,,a1b88e9f9854e306
-79.5443682,43.596949,15,Owen Dr,,Etobicoke,,,,,68762f794ec4cafe
-79.5411466,43.5882821,29,Forty First St,,Etobicoke,,,,,250c8178e38c3595
-79.5410201,43.5865433,2A,Forty Second St,,Etobicoke,,,,,32ba929529b6ec4a
-79.5408904,43.5870031,7,Forty Second St,,Etobicoke,,,,,a50fc2fd7af9bd78
-79.5405836,43.5867829,1,Forty Second St,,Etobicoke,,,,,ab1f0d271a26204f
-79.5401348,43.5865004,417,Lake Promenade,,Etobicoke,,,,,3c586f6deb8d9609
-79.5400353,43.5866022,411,Lake Promenade,,Etobicoke,,,,,dd2016d2f23becc0
-79.5405358,43.5869056,404,Lake Promenade,,Etobicoke,,,,,93e3cbb235a8c71d
-79.5415423,43.5885517,37,Forty First St,,Etobicoke,,,,,e1ac8bfff46b396e
-79.5414719,43.5885162,37A,Forty First St,,Etobicoke,,,,,8790648b11565316
-79.5041903,43.6895578,67B,Buttonwood Ave,,York,,,,,281659a36b07e779
-79.5412217,43.5883303,31,Forty First St,,Etobicoke,,,,,02bdcb22c8fc7ad5
-79.5406313,43.5906824,81,Fortieth St,,Etobicoke,,,,,0b13d63b564e9b40
-79.5406566,43.5907742,83,Fortieth St,,Etobicoke,,,,,b6f2451ecf2b8fbb
-79.5404296,43.5902627,67,James St,,Etobicoke,,,,,c4c6350fa153b7a4
-79.5400563,43.59033,63,James St,,Etobicoke,,,,,d8e1566bebad9455
-79.5405334,43.5905792,66,James St,,Etobicoke,,,,,1d94e6f98f723409
-79.5402146,43.5906865,64,James St,,Etobicoke,,,,,7eddfd03c56ec783
-79.5394316,43.5896451,38,Thirty Ninth St,,Etobicoke,,,,,fc1a77efaf1f9f4c
-79.5388698,43.5925023,83,Thirty Eighth St,,Etobicoke,,,,,c3db5028e4ba0017
-79.5389821,43.5926774,89,Thirty Eighth St,,Etobicoke,,,,,61905ad27b677317
-79.5388986,43.5926021,87,Thirty Eighth St,,Etobicoke,,,,,ab8c87df6b60cdbc
-79.539865,43.5928105,3737,Lake Shore Blvd W,,Etobicoke,,,,,352f694c409f6ad1
-79.5397704,43.5928133,3735,Lake Shore Blvd W,,Etobicoke,,,,,71bfd726a56888fb
-79.5397318,43.5928217,3733,Lake Shore Blvd W,,Etobicoke,,,,,df3312ff79cf87c5
-79.534615,43.5888121,9,Thirty Sixth St,,Etobicoke,,,,,0520491ab3244ce5
-79.534559,43.588693,5,Thirty Sixth St,,Etobicoke,,,,,0da48c7e9bb72b6d
-79.5353614,43.5893155,306,Lake Promenade,,Etobicoke,,,,,33cacc5361f46a2e
-79.5349106,43.5894788,21,Thirty Sixth St,,Etobicoke,,,,,aad06aa8f1b46b97
-79.5346886,43.5889647,11,Thirty Sixth St,,Etobicoke,,,,,75f189d9521e5926
-79.5347101,43.5891001,15,Thirty Sixth St,,Etobicoke,,,,,deb5378170862f99
-79.5464754,43.5920704,29,Enfield Ave,,Etobicoke,,,,,5b83b8503d3c66e9
-79.5478634,43.5922573,45,Enfield Ave,,Etobicoke,,,,,3e498e26e20092aa
-79.5477294,43.5921656,43,Enfield Ave,,Etobicoke,,,,,8c295544987d4dd9
-79.5452787,43.5933216,10A,Foch Ave,,Etobicoke,,,,,9720e9929024bd5a
-79.5450592,43.592754,3,Enfield Ave,,Etobicoke,,,,,565f988bf46ffa8d
-79.5488633,43.5958634,2,Sunset Ave,,Etobicoke,,,,,a7e949b92b7d4e86
-79.5486095,43.5958512,1,Sunset Ave,,Etobicoke,,,,,1c10ec19d8198f15
-79.5483753,43.5952777,67,Jellicoe Ave,,Etobicoke,,,,,b95c8dd97d677ead
